rcaoagda pts/0        192.168.1.101    Sun Feb 14 21:07   still logged in
rcaoagda :0           :0               Sun Feb 14 21:05   still logged in
reboot   system boot  5.8.0-43-generic Sun Feb 14 21:00   still running
rcaoagda pts/2        192.168.1.101    Sat Feb 13 14:40 - 14:41  (00:00)
rcaoagda :0           :0               Sat Feb 13 09:01 - 15:29  (06:28)
reboot   system boot  5.8.0-43-generic Sat Feb 13 08:45 - 15:29  (06:43)
rcaoagda :0           :0               Thu Feb 11 21:08 - down   (01:27)
reboot   system boot  5.8.0-43-generic Thu Feb 11 20:58 - 22:36  (01:37)
rcaoagda :0           :0               Thu Feb 11 16:37 - down   (03:23)
reboot   system boot  5.8.0-43-generic Thu Feb 11 16:36 - 20:00  (03:24)
rcaoagda pts/0        192.168.1.101    Wed Feb 10 20:29 - 20:29  (00:00)
rcaoagda pts/2        192.168.1.101    Wed Feb 10 18:12 - 20:30  (02:18)
rcaoagda :0           :0               Wed Feb 10 16:42 - down   (03:48)
reboot   system boot  5.8.0-41-generic Wed Feb 10 16:37 - 20:30  (03:53)
rcaoagda pts/1        192.168.1.101    Tue Feb  9 21:12 - 21:12  (00:00)
rcaoagda :0           :0               Tue Feb  9 18:44 - down   (02:37)
reboot   system boot  5.8.0-41-generic Tue Feb  9 18:22 - 21:21  (02:59)
rcaoagda :0           :0               Tue Feb  9 13:54 - down   (01:39)
reboot   system boot  5.8.0-41-generic Tue Feb  9 12:29 - 15:34  (03:04)
rcaoagda :0           :0               Mon Feb  8 18:40 - down   (03:02)
reboot   system boot  5.8.0-41-generic Mon Feb  8 18:40 - 21:43  (03:03)
rcaoagda pts/0        192.168.1.101    Sat Feb  6 14:21 - 14:22  (00:00)
reboot   system boot  5.8.0-41-generic Sat Feb  6 13:50 - 15:01  (01:10)
rcaoagda :0           :0               Sat Feb  6 13:46 - down   (00:04)
reboot   system boot  5.8.0-41-generic Sat Feb  6 13:24 - 13:50  (00:26)
rcaoagda :0           :0               Sat Feb  6 13:13 - down   (00:10)
rcaoagda pts/0        192.168.1.101    Sat Feb  6 13:00 - 13:13  (00:13)
reboot   system boot  5.8.0-41-generic Sat Feb  6 12:52 - 13:24  (00:31)
rcaoagda pts/0        192.168.1.101    Sat Feb  6 12:42 - 12:52  (00:09)
rcaoagda :0           :0               Sat Feb  6 10:49 - 12:38  (01:48)
reboot   system boot  5.8.0-41-generic Sat Feb  6 10:43 - 12:52  (02:08)
rcaoagda :0           :0               Sat Feb  6 04:47 - down   (01:40)
reboot   system boot  5.8.0-41-generic Sat Feb  6 04:46 - 06:27  (01:41)
rcaoagda :0           :0               Thu Feb  4 21:35 - down   (00:18)
reboot   system boot  5.8.0-41-generic Thu Feb  4 21:35 - 21:54  (00:18)
rcaoagda :0           :0               Thu Feb  4 18:34 - down   (02:40)
reboot   system boot  5.8.0-41-generic Thu Feb  4 18:34 - 21:15  (02:40)
rcaoagda :0           :0               Wed Feb  3 21:13 - 22:51  (01:38)
reboot   system boot  5.8.0-41-generic Wed Feb  3 21:12 - 22:52  (01:39)
